Position_X, Position_Y, Position_Z, Rotation_X, Rotation_Y, Rotation_Z
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
1.01145,1.502973, -1.448336,0.04694219,-0.3445161, -0.03542921,
